Number,Track Name,Main Artist,Album,Personnel,Related Artists
1,Return of the Grievous Angel,Gram Parsons & Emmylou Harris,Grievous Angel,[object Object],
2,Little Silver Heart,Lucero,Lucero,,
3,Why She's Acting This Way,Townes Van Zandt,Our Mother the Mountain,[object Object],
4,You're Supposed to be Feeling Good,Emmylou Harris,Luxury Liner,[object Object],
5,Zip City,Drive-By Truckers,Southern Rock Opera,[object Object],
6,Telephone Road,Steve Earle,El Corazon,,
7,Rolling Along,Lucinda Williams,Happy Woman Blues,[object Object],
8,Nothing Was Delivered,The Byrds,Sweetheart of the Rodeo,[object Object],
9,Cigarette Machine,Fred Eaglesmith,6Volts,,
10,Rock Me on the Water,Linda Ronstadt,Linda Ronstadt,,
